City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,28.98,91,72,1.79,EC,1680360011
1,mataura,-46.1927,168.8643,13.04,91,66,1.23,NZ,1680360011
2,esperance,-33.8667,121.9,18.57,77,99,5.03,AU,1680360012
3,yellowknife,62.456,-114.3525,-16.71,66,100,7.72,CA,1680359934
4,rikitea,-23.1203,-134.9692,26.39,81,42,6.64,PF,1680360013
5,hobart,-42.8794,147.3294,12.92,78,99,5.14,AU,1680359414
6,hermanus,-34.4187,19.2345,24.33,56,0,8.37,ZA,1680360013
7,airai,-8.9266,125.4092,16.32,97,100,0.56,TL,1680360014
8,saint george,37.1041,-113.5841,3.33,75,0,0.0,US,1680359949
9,bluff,-46.6,168.3333,13.22,87,25,7.59,NZ,1680360014
10,kharp,66.8014,65.8081,0.48,98,100,3.72,RU,1680360014
11,grand gaube,-20.0064,57.6608,27.43,71,8,2.24,MU,1680360014
12,georgetown,5.4112,100.3354,30.96,70,20,2.06,MY,1680360014
13,ushuaia,-54.8,-68.3,6.81,70,0,2.06,AR,1680360015
14,orda,57.1951,56.9091,2.12,97,100,5.63,RU,1680360015
15,salvacion,7.9833,126.1333,23.08,97,100,0.59,PH,1680360015
16,vaini,-21.2,-175.2,25.09,94,20,1.54,TO,1680360015
17,tuktoyaktuk,69.4541,-133.0374,-25.0,70,20,5.66,CA,1680360015
18,alice springs,-23.7,133.8833,17.75,88,100,3.09,AU,1680360015
19,busselton,-33.65,115.3333,17.01,78,10,3.89,AU,1680360016
20,khatanga,71.9667,102.5,-7.59,93,100,9.6,RU,1680360016
21,albany,42.6001,-73.9662,13.18,93,100,4.48,US,1680359818
22,touros,-5.1989,-35.4608,30.27,62,87,4.96,BR,1680359973
23,olesno,50.877,18.4209,10.05,93,100,4.68,PL,1680360017
24,lopatino,52.6195,45.8118,8.84,59,77,2.63,RU,1680360017
25,lebu,-37.6167,-73.65,16.93,63,33,3.92,CL,1680360017
26,saskylakh,71.9167,114.0833,-11.14,90,100,7.75,RU,1680360017
27,thompson,55.7435,-97.8558,-16.91,66,20,2.57,CA,1680360018
28,te anau,-45.4167,167.7167,10.61,94,16,0.99,NZ,1680360018
29,punta arenas,-53.15,-70.9167,8.06,61,100,4.12,CL,1680359836
30,kapaa,22.0752,-159.319,22.18,94,100,2.57,US,1680360019
31,port elizabeth,-33.918,25.5701,25.61,33,0,5.14,ZA,1680360019
32,rumoi,43.9344,141.6428,1.12,92,74,1.68,JP,1680360019
33,upernavik,72.7868,-56.1549,-28.03,95,56,5.34,GL,1680360020
34,nampula,-15.1165,39.2666,26.97,74,75,5.14,MZ,1680359646
35,qaanaaq,77.484,-69.3632,-22.98,71,6,2.09,GL,1680360020
36,guerrero negro,27.9769,-114.0611,14.6,74,2,4.09,MX,1680360020
37,turayf,31.6725,38.6637,16.14,23,0,4.12,SA,1680360020
38,anloga,5.7947,0.8973,29.36,71,85,4.89,GH,1680360021
39,bengkulu,-3.8004,102.2655,24.19,89,100,2.11,ID,1680360021
40,kodiak,57.79,-152.4072,0.73,51,0,9.26,US,1680360021
41,vila velha,-20.3297,-40.2925,32.75,64,20,1.54,BR,1680360021
42,torbay,47.6666,-52.7314,2.54,73,75,5.66,CA,1680360022
43,magangue,9.242,-74.7547,32.4,50,86,1.69,CO,1680360022
44,bambous virieux,-20.3428,57.7575,27.34,78,40,3.6,MU,1680360022
45,henties bay,-22.116,14.2845,18.7,71,5,4.12,NA,1680360022
46,riohacha,11.5444,-72.9072,29.06,61,75,7.72,CO,1680360022
47,sarh,9.1429,18.3923,38.95,24,20,3.09,TD,1680360023
48,sibolga,1.7427,98.7792,24.76,92,100,2.22,ID,1680360023
49,isangel,-19.55,169.2667,25.57,86,13,1.87,VU,1680360023
50,sambava,-14.2667,50.1667,26.01,86,100,3.34,MG,1680359793
51,sorland,67.667,12.6934,2.92,54,97,7.67,NO,1680360023
52,baindur,13.8667,74.6333,25.72,81,84,4.18,IN,1680359760
53,san antonio,29.4241,-98.4936,24.51,32,75,3.09,US,1680360002
54,hilo,19.7297,-155.09,21.25,94,0,1.54,US,1680359936
55,tasiilaq,65.6145,-37.6368,-0.91,78,99,1.16,GL,1680360024
56,butaritari,3.0707,172.7902,27.47,72,100,5.26,KI,1680360024
57,jamestown,42.097,-79.2353,16.12,49,0,6.69,US,1680360024
58,bredasdorp,-34.5322,20.0403,21.33,61,0,5.9,ZA,1680360024
59,namatanai,-3.6667,152.4333,24.19,91,100,0.75,PG,1680360024
60,xining,36.6167,101.7667,9.31,46,98,5.85,CN,1680360025
61,berlevag,70.8578,29.0864,-2.03,80,100,12.86,NO,1680360025
62,ebolowa,2.9,11.15,26.26,83,46,0.95,CM,1680360025
63,harlingen,26.1906,-97.6961,24.47,99,75,4.12,US,1680359817
64,ingleside,27.8778,-97.2117,25.59,94,40,2.57,US,1680360025
65,cayenne,4.9333,-52.3333,25.02,83,100,4.12,GF,1680359988
66,chokurdakh,70.6333,147.9167,-33.44,100,93,2.78,RU,1680360026
67,saint-joseph,-21.3667,55.6167,27.21,85,48,2.69,RE,1680360026
68,newport,51.5877,-2.9984,14.23,77,67,5.86,GB,1680360026
69,chapais,49.7834,-74.8492,-5.12,91,100,3.41,CA,1680360026
70,cape town,-33.9258,18.4232,22.71,66,0,6.17,ZA,1680359865
71,alexandria,31.2156,29.9553,22.3,53,0,3.54,EG,1680359819
72,san lawrenz,36.0553,14.204,22.67,87,100,7.11,MT,1680360027
73,chongoyape,-6.6406,-79.3892,28.08,72,87,1.69,PE,1680360027
74,bethel,41.3712,-73.414,14.07,89,100,1.34,US,1680359913
75,leningradskiy,69.3833,178.4167,-13.49,91,100,11.02,RU,1680360027
76,sinnamary,5.3833,-52.95,27.91,66,29,5.43,GF,1680360028
77,quatre cocos,-20.2078,57.7625,27.27,78,25,5.54,MU,1680360028
78,elk city,35.412,-99.4043,8.12,42,0,6.69,US,1680360028
79,severo-kurilsk,50.6789,156.125,-0.39,81,7,5.78,RU,1680360029
80,new norfolk,-42.7826,147.0587,12.72,70,99,1.4,AU,1680360029
81,biak,-0.9131,122.8766,24.39,78,99,1.61,ID,1680360029
82,catamarca,-28.4696,-65.7852,22.1,65,25,0.89,AR,1680359810
83,otjiwarongo,-20.4637,16.6477,25.48,39,93,7.04,NA,1680360029
84,yarada,17.65,83.2667,28.18,74,40,3.09,IN,1680360029
85,bhuj,23.2667,69.6667,26.9,46,11,7.44,IN,1680359489
86,suez,29.9737,32.5263,21.02,35,0,5.05,EG,1680360030
